21 49 43 +11 47 35 Cap NGC 7136
21 52 09 +03 20 29 Peg NGC 7148
21 57 28 +11 35 34 Cap NGC 7158
21 56 57 +02 55 39 Peg NGC 7161
22 27 17 +22 07 00 Aqr NGC 7287
22 31 44 +30 58 47 Peg NGC 7304
22 36 48 +34 22 05 Peg NGC 7325
22 36 52 +34 25 23 Peg NGC 7326
22 37 31 +34 24 52 Peg NGC 7338
22 40 48 +12 00 23 Peg NGC 7350
23 01 26 +06 21 24 Aqr NGC 7453
23 10 20 +21 44 15 Aqr NGC 7502
23 15 54 +04 29 46 Psc NGC 7560
23 18 59 +11 20 30 Peg NGC 7607
23 57 58 +10 45 57 Peg NGC 7791
00 01 19 +07 44 52 Psc NGC 7804
00 07 01 +27 38 08 Peg NGC 7839
