01 33 54 +30 39 00 N 598 Gx 5.7
03 44 30 +32 17 00 I 348 +N 7.3
05 52 24 +32 33 00 N 2099 OC 5.6
05 22 42 +33 24 00 N 1893 OC 7.5
05 36 06 +34 08 00 N 1960 OC 6.0
05 28 00 +35 19 00 N 1907 OC 8.2
05 28 42 +35 50 01 N 1912 OC 6.4
01 57 48 +37 41 00 N 752 OC 5.7
03 31 36 +37 20 00 N 1342 OC 6.7
05 08 06 +37 03 01 N 1778 OC 7.7
05 20 12 +39 21 00 N 1857 OC 7.0
00 42 42 +40 52 00 N 221 Gx 8.2
00 40 24 +41 41 00 N 205 Gx 8.0
00 42 42 +41 16 00 N 224 Gx 3.5
06 49 18 +41 04 01 N 2281 OC 5.4
02 42 00 +42 47 00 N 1039 OC 5.2
04 32 00 +43 51 01 N 1582 OC 7.0
04 51 06 +43 42 00 N 1664 OC 7.6
03 14 42 +47 15 00 N 1245 OC 8.4
04 10 00 +49 31 00 N 1513 OC 8.4
04 20 54 +50 15 00 N 1545 OC 6.2
04 15 24 +51 14 00 N 1528 OC 6.4
03 49 24 +52 40 00 N 1444 OC 6.6
01 58 24 +55 29 00 N 744 OC 7.9
00 52 48 +56 37 00 N 281 +N 7.0
02 19 00 +57 09 00 N 869 OC 4.0
02 22 24 +57 07 00 N 884 OC 4.0
02 33 36 +57 32 01 N 957 OC 7.6
01 15 36 +58 49 00 N 436 OC 8.8
01 19 06 +58 20 00 N 457 OC 6.4
00 29 54 +60 14 00 N 129 OC 6.5
01 33 12 +60 42 00 N 581 OC 7.4
01 44 12 +60 42 00 N 659 OC 7.9
02 51 12 +60 26 01 I 1848 +N 6.5
00 39 36 +61 04 00 N 189 OC 8.8
00 43 24 +61 47 00 N 225 OC 7.0
01 44 06 +61 53 00 N 654 OC 6.5
01 46 00 +61 15 00 N 663 OC 7.1
02 32 42 +61 27 00 I 1805 +N 6.5
02 42 42 +61 33 00 N 1027 OC 6.7
04 07 42 +62 20 00 N 1502 OC 5.7
01 42 54 +64 00 00 N 637 OC 8.2
07 36 54 +65 36 00 N 2403 Gx 8.4
00 44 00 +85 20 00 N 188 OC 8.1
