23 01 55 +42 19 34 1 Andromeda
23 02 36 +42 45 28 2 Andromeda
23 04 11 +50 03 08 3 Andromeda
23 07 39 +46 23 14 4 Andromeda
23 07 45 +49 17 45 5 Andromeda
23 10 27 +43 32 39 6 Andromeda
23 12 33 +49 24 23 7 Andromeda
23 17 45 +49 00 55 8 Andromeda
23 18 23 +41 46 25 9 Andromeda
23 19 52 +42 04 41 10 Andromeda
23 19 30 +48 37 31 11 Andromeda
23 20 53 +38 10 56 12 Andromeda
23 27 07 +42 54 43 13 Andromeda
23 31 17 +39 14 11 14 Andromeda
23 34 38 +40 14 11 15 Andromeda
23 37 34 +46 27 29 16 Andromeda
23 38 08 +43 16 05 17 Andromeda
23 39 08 +50 28 18 18 Andromeda
23 40 25 +44 20 02 19 Andromeda
23 46 02 +46 25 13 20 Andromeda
00 08 23 +29 05 26 21 Andromeda
00 10 19 +46 04 20 22 Andromeda
00 13 31 +41 02 07 23 Andromeda
00 17 06 +38 40 54 24 Andromeda
00 18 20 +36 47 07 25 Andromeda
00 18 42 +43 47 28 26 Andromeda
00 21 07 +37 58 07 27 Andromeda
00 30 07 +29 45 06 28 Andromeda
00 36 53 +33 43 10 29 Andromeda
00 38 33 +29 18 42 30 Andromeda
00 39 20 +30 51 39 31 Andromeda
00 41 07 +39 27 31 32 Andromeda
00 47 20 +24 16 02 34 Andromeda
00 49 49 +41 04 44 35 Andromeda
00 54 58 +23 37 42 36 Andromeda
00 56 45 +38 29 58 37 Andromeda
00 57 12 +23 25 03 38 Andromeda
01 02 54 +41 20 42 39 Andromeda
01 08 01 +43 56 31 41 Andromeda
01 09 30 +47 14 31 42 Andromeda
01 09 44 +35 37 14 43 Andromeda
01 10 19 +42 04 54 44 Andromeda
01 11 10 +37 43 27 45 Andromeda
01 22 20 +45 31 44 46 Andromeda
01 23 41 +37 42 54 47 Andromeda
01 27 39 +45 24 24 48 Andromeda
01 30 06 +47 00 26 49 Andromeda
01 36 48 +41 24 20 50 Andromeda
01 38 00 +48 37 42 51 Andromeda
01 39 21 +44 23 10 52 Andromeda
01 40 35 +40 34 37 53 Andromeda
01 53 17 +40 43 47 55 Andromeda
01 56 09 +37 15 06 56 Andromeda
02 03 55 +42 19 51 57 Andromeda
02 03 54 +42 19 47 57 Andromeda
02 08 29 +37 51 33 58 Andromeda
02 10 54 +39 02 35 59 Andromeda
02 10 53 +39 02 22 59 Andromeda
02 13 13 +44 13 54 60 Andromeda
