00 58 48 -16 29 00 NGC 333A GALXY16.0
00 59 06 -18 16 00 NGC 335 GALXY14.3
00 59 48 -07 35 00 NGC 337 GALXY11.6
01 00 36 -06 53 00 NGC 340 GALXY14.0
01 00 48 -09 11 00 NGC 341A GALXY13.0
01 00 48 -06 47 00 NGC 342 GALXY14.5
01 00 48 -23 14 00 NGC 343 1STAR
01 00 54 -09 11 00 NGC 341B GALXY15.0
01 01 24 -06 54 00 NGC 345 GALXY13.5
01 01 24 -06 49 00 NGC 347 GALXY14.5
01 01 36 -23 14 00 NGC 344 GALXY
01 01 48 -07 36 00 NGC 337A GALXY12.2
01 01 54 -06 49 00 NGC 349 GALXY13.5
01 02 00 -06 49 00 NGC 350 GALXY15.0
01 02 06 -01 55 00 NGC 351 GALXY13.2
01 02 12 -04 15 00 NGC 352 GALXY12.6
01 02 36 -01 56 00 NGC 353 GALXY13.6
01 03 12 -06 20 00 NGC 355 GALXY15.0
01 03 18 -07 00 00 NGC 356 GALXY13.5
01 03 24 -06 21 00 NGC 357 GALXY12.0
01 04 24 -01 01 00 NGC 359 GALXY13.3
01 04 36 -01 07 00 NGC 364 GALXY13.1
01 04 48 +02 07 00 IC 1613 GALXY09.2
01 05 00 -17 47 00 NGC 369 GALXY13.8
01 05 06 -06 13 00 New 1 GALXY11.8
01 05 48 -12 07 00 NGC 367 GALXY
01 06 06 -16 34 00 NGC 363 GALXY15.0
01 06 18 -20 03 00 NGC 377 3STAR
01 07 30 +00 56 00 NGC 391 GALXY13.4
01 08 42 +01 39 00 UGC 711 GALXY14.0
01 10 18 -20 01 00 NGC 412 NONEX
01 11 06 -18 10 00 NGC 417 GALXY14.1
01 11 48 -00 39 00 IC 1639 GALXY13.6
01 12 36 -02 47 00 NGC 413 GALXY16.0
01 12 54 -00 17 00 NGC 426 GALXY12.9
01 13 00 +00 59 00 NGC 428 GALXY11.5
01 13 00 -00 20 00 NGC 429 GALXY13.4
01 13 06 -00 15 00 NGC 430 GALXY12.5
01 14 00 +02 04 00 NGC 435 GALXY14.2
01 14 42 -01 01 00 NGC 442 GALXY13.4
01 14 54 +01 56 00 NGC 445 GALXY14.1
01 15 18 -01 37 00 NGC 448 GALXY12.1
01 15 30 -00 52 00 NGC 450 GALXY11.5
01 20 12 -22 22 00 NGC 478 GALXY15.0
01 20 54 -09 52 00 NGC 480 NONEX
01 21 00 -09 12 00 NGC 481 GALXY14.0
01 21 48 -16 21 00 NGC 487 GALXY14.0
01 22 12 +00 57 00 NGC 493 GALXY12.5
01 22 24 -00 53 00 NGC 497 GALXY13.0
01 24 30 -01 38 00 NGC 519 GALXY14.3
01 24 36 +01 44 00 NGC 521 GALXY11.7
01 24 36 -19 54 00 NGC 540 GALXY
01 24 42 -01 34 00 NGC 530 GALXY13.0
01 25 18 -18 09 00 NGC 539 GALXY13.5
01 25 30 -01 32 00 NGC 538 GALXY13.7
01 25 36 +01 46 00 NGC 533 GALXY11.4
01 25 36 -01 23 00 NGC 535 GALXY13.8
01 25 48 -01 21 00 NGC 541 GALXY12.1
01 25 54 -01 16 00 NGC 543 GALXY13.1
01 26 00 -01 20 00 NGC 545 GALXY12.2
01 26 00 -01 20 00 NGC 547A GALXY
01 26 06 -01 20 00 NGC 547 GALXY12.2
01 26 06 -01 13 00 NGC 548 GALXY13.7
01 26 18 -06 04 00 MCG -01-04GALXY12.5
01 26 30 -01 38 00 NGC 557 GALXY13.5
01 26 42 +02 02 00 NGC 550 GALXY12.7
01 26 54 -10 15 00 NGC 567 GALXY14.0
01 27 00 -22 47 00 NGC 556 GALXY14.4
01 27 06 -18 38 00 NGC 563 GALXY13.3
01 27 12 -22 45 00 NGC 555 GALXY14.1
01 27 12 -22 43 00 NGC 554 GALXY15.0
01 27 18 -01 58 00 NGC 558 GALXY14.3
01 27 30 -01 55 00 NGC 560 GALXY13.0
01 27 48 -01 53 00 NGC 564 GALXY12.5
01 28 12 -01 17 00 NGC 565 GALXY13.5
01 29 00 -00 57 00 NGC 570 GALXY12.8
01 29 42 -18 19 00 NGC 583 GALXY14.1
01 29 48 -01 15 00 UGC 1072 GALXY14.0
01 30 24 -22 39 59 NGC 578 GALXY10.9
01 30 42 -01 59 00 NGC 577 GALXY12.9
01 31 06 -01 59 00 NGC 580 NONEX
01 31 18 -06 51 00 NGC 584 GALXY10.5
01 31 36 -06 54 00 NGC 586 GALXY13.2
01 31 42 -00 55 00 NGC 585 GALXY13.1
01 32 18 -12 21 00 NGC 593 GALXY14.0
01 32 36 -12 02 00 NGC 589 GALXY14.0
01 32 48 -07 01 00 NGC 596 GALXY10.9
01 32 48 -12 11 00 NGC 599 GALXY13.0
01 33 00 -16 32 00 NGC 594 GALXY14.0
01 33 18 -07 19 00 NGC 600 GALXY12.4
01 33 18 -12 12 00 NGC 601 GALXY
01 33 54 -09 47 00 NGC 617 GALXY15.0
01 34 18 -20 09 00 NGC 610 NONEX
01 34 18 -20 08 00 NGC 611 NONEX
01 34 24 -07 25 00 NGC 607 NONEX
01 35 06 -07 19 00 NGC 615 GALXY11.6
01 35 42 -10 00 00 NGC 624 GALXY14.0
01 36 00 +00 41 00 NGC 622 GALXY12.9
01 38 18 -19 56 00 NGC 635 NONEX
01 38 42 -17 50 00 NGC 648 GALXY14.0
01 39 06 -07 29 00 NGC 636 GALXY11.5
01 39 18 -09 23 00 NGC 640 GALXY15.0
01 39 48 -09 13 00 NGC 647 GALXY14.0
01 40 00 -09 14 00 NGC 649 GALXY15.0
01 42 00 -13 04 00 NGC 655 GALXY14.0
01 45 06 -22 56 00 NGC 667 GALXY14.2
01 47 48 -16 43 00 NGC 690 GALXY14.2
01 49 00 -14 59 00 NGC 682 GALXY13.0
01 49 06 -10 26 00 NGC 681 GALXY12.0
01 50 36 -12 03 00 NGC 699 GALXY14.0
01 51 00 -09 42 00 NGC 701 GALXY12.2
01 51 12 -08 30 00 NGC 707 GALXY14.0
01 51 18 -04 03 00 NGC 702 GALXY13.1
01 52 36 -16 31 00 NGC 725 GALXY14.0
01 53 00 -13 44 00 NGC 720 GALXY10.2
01 53 06 -12 53 00 NGC 715 GALXY15.0
01 53 54 -23 46 00 NGC 723 GALXY12.4
01 54 30 -16 43 00 NGC 756 GALXY15.0
01 54 48 -17 03 00 NGC 734 GALXY
01 55 00 -09 01 00 NGC 731 GALXY12.1
01 55 06 -09 05 00 NGC 713 GALXY15.0
01 55 36 -10 49 00 NGC 726 GALXY14.0
01 56 00 -03 06 00 NGC 758 GALXY
01 56 12 -09 04 00 NGC 755 GALXY12.6
01 56 12 -09 04 00 NGC 757 NONEX
01 56 12 -09 04 00 NGC 763 NONEX
01 56 24 -04 29 00 NGC 748 GALXY12.6
01 57 06 -05 26 00 NGC 762 GALXY13.5
01 57 12 -16 02 00 NGC 764 2STAR
01 57 24 -09 28 00 NGC 747 GALXY
01 58 42 +00 31 00 NGC 768 GALXY13.2
01 58 54 -09 35 00 NGC 767 GALXY14.0
01 59 00 -11 31 00 NGC 773 GALXY14.0
01 59 42 -05 58 00 NGC 779 GALXY11.2
02 01 00 -06 49 00 NGC 788 GALXY12.1
02 01 00 -09 00 00 NGC 787 GALXY13.0
02 01 30 -05 23 00 NGC 790 GALXY13.5
02 02 18 +00 06 00 NGC 799 GALXY13.0
02 02 18 +00 08 00 NGC 800 GALXY13.7
02 02 54 -14 38 00 NGC 814 GALXY16.0
02 02 54 -14 42 00 NGC 815 GALXY16.0
02 03 36 -09 56 00 NGC 806 GALXY14.0
02 03 54 -23 18 00 NGC 808 GALXY13.5
02 04 24 -08 43 00 NGC 809 GALXY14.0
02 04 42 -10 06 00 NGC 811 GALXY14.0
02 08 30 +06 19 00 NGC 825 GALXY13.2
02 08 36 -07 48 00 NGC 829 GALXY14.0
02 08 48 +07 58 00 NGC 827 GALXY12.7
02 09 00 -07 46 00 NGC 830 GALXY14.0
02 09 24 -10 08 00 NGC 833 GALXY12.7
02 09 30 -10 08 00 NGC 835 GALXY12.1
02 09 30 +06 06 00 NGC 831 GALXY15.0
02 09 36 -10 09 00 NGC 838 GALXY12.9
02 09 42 -10 12 00 NGC 839 GALXY13.1
02 09 48 -07 46 00 NGC 842 GALXY12.7
02 10 12 +07 50 00 NGC 840 GALXY13.4
02 10 12 -22 19 00 NGC 849 GALXY14.3
02 10 12 +06 03 00 NGC 844 GALXY15.0
02 10 18 -10 20 00 NGC 848 GALXY13.0
02 10 24 -22 26 00 NGC 837 GALXY14.0
02 10 30 -22 04 00 NGC 836 GALXY13.3
02 11 12 -01 30 00 NGC 850 GALXY12.9
02 11 12 +03 47 00 NGC 851 GALXY13.5
02 11 48 -09 18 00 NGC 853 GALXY13.0
02 12 36 -22 27 00 NGC 858 GALXY13.7
02 13 36 -00 44 00 NGC 856 GALXY13.2
02 13 54 -00 44 00 NGC 859 NONEX
02 14 36 -00 46 00 NGC 863 GALXY12.9
02 15 24 +06 00 00 NGC 864 GALXY10.9
02 15 24 -17 48 00 NGC 872 GALXY13.8
02 15 48 -01 00 00 NGC 866 NONEX
02 15 54 +01 03 00 NGC 867 NONEX
02 16 00 -00 44 00 NGC 868 GALXY13.9
02 16 06 -23 18 00 NGC 874 GALXY14.2
02 16 36 -11 20 00 NGC 873 GALXY13.0
02 16 48 -08 58 00 NGC 879 GALXY
02 17 06 +01 14 00 NGC 875 GALXY12.9
