23 15 16 +18 57 00 A 99 12.2m NGC 7550
00 28 38 -11 34 00 A100 15.0m IC 0018
16 04 31 +14 49 00 A101 14.7m UGC 10169
17 19 21 +49 02 00 A102 14.9m UGC 10814B
16 49 33 +45 29 00 A103 14.6m UGC 10586
13 32 10 +62 46 00 A104 12.3m NGC 5218
11 11 13 +28 41 00 A105 15.0m NGC 3561
12 15 35 +28 10 00 A106 13.6m NGC 4211
10 52 22 +30 05 00 A107 14.6m UGC 05984
03 03 07 -22 12 00 A108 14.0m ESO 547-G003
15 47 50 +69 28 00 A109 15.0m UGC 10053
22 54 08 -15 14 00 A110 15.9m MCG-03-58-011
14 01 40 +33 49 00 A111 13.4m NGC 5421
00 01 26 +31 26 00 A112 13.3m NGC 7805
00 18 22 +30 04 00 A113 14.5m NGC 0070
07 32 20 +85 42 01 A114 12.1m NGC 2300
11 43 02 +26 16 00 A115 15.5m UGC 06678A
12 43 39 +11 33 00 A116 8.8 m MESSIER 60
14 10 04 +17 43 59 A117 14.3m IC 0983
02 55 11 -00 10 00 A118 12.9m NGC 1144
01 19 24 +12 26 00 A119 14.7m UGC 00849
12 27 45 +13 00 00 A120 10.1m NGC 4438
00 59 23 -04 48 00 A121 14.5m MCG-01-03-051
16 04 26 +17 45 00 A122 13.6m NGC 6040A
05 22 32 -11 29 00 A123 12.0m NGC 1888
17 18 40 +60 36 00 A124 13.1m NGC 6361
16 38 13 +41 55 00 A125 13.6m UGC 10491
01 58 05 +03 05 00 A126 13.9m UGC 01449
00 38 59 -09 00 00 A127 12.5m NGC 0191
01 17 24 +14 41 00 A128 15.4m UGC 00827
09 39 24 +32 21 00 A129 14.0m UGC 05146
00 02 37 +16 38 00 A130 15.3m IC 5378
02 47 19 -14 48 00 A131 14.5m MCG-03-08-25
11 19 21 -03 05 00 A132 15.5m CGCG 011-053
01 25 44 -01 22 00 A133 12.1m NGC 0541
12 29 46 +07 59 00 A134 8.4 m MESSIER 49
02 40 24 +39 03 00 A135 9.3 m NGC 1023
14 58 39 +53 53 00 A136 12.5m NGC 5820
09 34 02 +10 06 00 A137 13.2m NGC 2914
11 58 42 +25 02 00 A138 14.0m NGC 4015
13 07 24 +26 42 00 A139 15.8m MCG+05-31-135
00 51 04 -07 03 00 A140 12.5m NGC 0275
07 14 20 +73 28 00 A141 12.5m UGC 03730
09 37 44 +02 45 00 A142 13.5m NGC 2936
07 46 53 +39 01 00 A143 13.2m NGC 2444
00 06 27 -13 24 00 A144 14.4m NGC 7828
02 23 08 +41 22 00 A145 13.8m ARP 145
00 06 44 -06 38 00 A146 0 ARP 146
03 11 18 +01 18 00 A147 15.0m IC 0298
11 04 00 +40 50 00 A148 15.4m MCG+07-23-019
12 39 42 +16 35 00 A149 16.0m IC 0803A
23 19 29 +09 30 00 A150 14.1m NGC 7609
11 25 36 +54 22 00 A151 16.8m MRK 0040
12 30 49 +12 23 00 A152 8.6 m MESSIER 87
13 25 27 -43 01 00 A153 6.8 m NGC 5128
03 22 41 -37 11 59 A154 8.2 m NGC 1316
11 23 38 +53 50 00 A155 12.5m NGC 3656
10 42 38 +77 29 00 A156 15.0m UGC 05814
01 24 35 +03 47 00 A157 11.5m NGC 0520
01 25 19 +34 01 00 A158 13.5m NGC 0523
12 51 45 +25 46 00 A159 12.4m NGC 4747
12 14 10 +54 31 00 A160 12.5m NGC 4194
11 42 12 +00 20 00 A161 14.7m UGC 06665
10 51 16 +27 58 00 A162 10.8m NGC 3414
12 45 17 +27 07 00 A163 12.7m NGC 4670
01 15 57 +05 10 00 A164 12.6m NGC 0455
07 36 37 +17 53 00 A165 12.2m NGC 2418
01 57 32 +33 12 00 A166 12.9m NGC 0750
08 49 22 +19 04 01 A167 11.6m NGC 2672
00 42 41 +40 51 00 A168 9.0 m MESSIER 32
22 14 45 +13 50 00 A169 13.0m NGC 7236
23 17 11 +18 42 00 A170 13.8m NGC 7578A
14 40 43 +03 26 59 A171 12.9m NGC 5718
16 05 33 +17 36 00 A172 15.2m IC 1178
14 51 26 +09 19 00 A173 14.9m UGC 09561
09 58 40 +28 52 01 A174 14.3m NGC 3068
12 32 52 +11 24 00 A175 13.3m IC 3481
13 03 54 -11 30 00 A176 11.7m NGC 4933A
14 55 48 +24 35 00 A177 17.3m MCG+04-35-017
14 24 07 +34 51 00 A178 11.7m NGC 5614
03 01 40 -04 40 00 A179 16.6m NPM1G -04.0134
04 53 22 -04 48 00 A180 14.8m MCG-01-13-034
10 28 41 +79 48 00 A181 13.0m NGC 3215
23 27 56 +08 46 00 A182 13.2m NGC 7674
13 34 55 +31 23 00 A183 14.6m UGC 08560
05 42 04 +69 22 00 A184 11.0m NGC 1961
16 32 40 +78 11 00 A185 11.2m NGC 6217
04 33 59 -08 34 00 A186 13.6m NGC 1614
05 04 53 -10 14 00 A187 15.0m MCG-02-13-040A
16 06 03 +55 25 00 A188 14.4m UGC 10214
12 43 42 +16 23 00 A189 10.8m NGC 4651
02 50 19 +12 53 00 A190 15.2m UGC 02320
11 07 19 +18 25 00 A191 14.6m UGC 06175
10 36 59 +18 08 00 A192 14.3m NGC 3303
13 20 35 +34 08 00 A193 14.4m IC 0883
11 57 52 +36 23 00 A194 14.9m UGC 06945
08 53 50 +35 08 00 A195 14.5m UGC 04653
13 14 37 +26 07 00 A196 16.0m ARP 196
11 31 00 +20 28 00 A197 14.6m IC 0701
10 59 45 +17 38 00 A198 15.3m UGC 06073
14 17 02 +36 34 00 A199 13.4m NGC 5544
02 53 41 +13 00 00 A200 12.1m NGC 1134
00 23 37 -00 30 00 A201 16.0m UGC 00224
09 00 15 +35 43 00 A202 13.1m NGC 2719
11 31 09 +28 34 00 A203 13.9m NGC 3712
13 22 49 +84 30 00 A204 16.0m UGC 08454
10 54 39 +54 18 00 A205 12.0m NGC 3448
10 52 31 +36 37 00 A206 11.3m NGC 3432
09 31 06 +76 27 00 A207 15.4m UGC 05050
16 51 02 +47 13 00 A208 14.8m MCG+08-31-010
16 05 12 +20 32 00 A209 13.0m NGC 6052
04 30 49 +64 50 00 A210 11.0m NGC 1569
12 37 19 +38 43 00 A211 16.0m MCG+07-26-034
23 20 30 +17 13 00 A212 12.1m NGC 7625
04 07 47 +69 48 00 A213 10.5m IC 0356
11 32 35 +53 03 01 A214 10.7m NGC 3718
09 14 05 +40 06 00 A215 11.7m NGC 2782
23 28 46 +03 30 00 A216 12.9m NGC 7679
10 38 47 +53 30 00 A217 10.8m NGC 3310
15 53 32 +18 35 59 A218 15.4m CGCG 107-052
03 39 51 -02 05 59 A219 14.9m UGC 02812
15 34 57 +23 30 00 A220 13.1m IC 4553
09 36 27 -11 19 00 A221 14.0m MCG-02-25-006
23 39 54 -12 17 00 A222 10.6m NGC 7727
23 18 02 -04 38 00 A223 11.4m NGC 7585
11 51 06 +55 04 00 A224 12.4m NGC 3921
08 55 38 +78 13 01 A225 10.1m NGC 2655
22 20 44 -24 40 00 A226 11.4m NGC 7252
01 20 06 +03 25 00 A227 11.5m NGC 0474
01 48 53 +10 31 00 A228 13.7m IC 0162
01 23 40 +33 16 00 A229 13.5m NGC 0508
00 46 24 -13 26 00 A230 13.0m IC 0051
00 43 33 -04 07 00 A231 14.5m IC 1575
09 33 46 +10 09 01 A232 11.5m NGC 2911
10 32 32 +54 24 00 A233 13.4m UGC 05720
11 35 48 +54 31 00 A234 11.9m NGC 3738
00 08 46 +15 48 00 A235 12.7m NGC 0014
01 07 47 -17 30 00 A236 14.3m IC 1623A
