00 20 24 +59 18 00 IC0010_GL
00 42 24 +29 38 01 IC0043_GL
00 44 00 +01 51 00 IC0049_GL
00 46 24 -13 26 00 IC0051_GL
00 51 30 -12 51 00 IC0056_GL
00 56 42 +61 04 00 IC0059_DN
00 59 30 +60 49 00 IC0063_DN
01 00 54 +47 41 00 IC0065_GL
01 08 48 -15 57 00 IC0079_GL
01 16 06 +04 18 00 IC0089_GL
01 27 54 -02 03 00 IC0119_GL
01 29 48 -06 59 00 IC0127_GL
01 38 42 -17 50 00 IC0146_GL
01 52 30 +61 50 00 IC0166_DN
01 51 06 +21 55 00 IC0167_GL
01 54 54 +00 49 00 IC0172_DN
01 56 00 +01 17 00 IC0173_GL
01 56 18 +01 20 00 IC0175_DN
02 06 06 +09 17 00 IC0198_GL
02 08 24 +06 23 00 IC0208_GL
02 09 00 -07 04 00 IC0209_GL
02 11 06 +03 52 00 IC0211_GL
02 22 00 -20 45 00 IC0223_GL
02 36 30 +38 58 00 IC0239_GL
02 41 06 -06 56 00 IC0249_GL
02 53 48 +12 50 00 IC0267_GL
02 59 48 +02 46 00 IC0277_GL
03 06 12 +42 23 00 IC0284_GL
03 10 18 +61 19 01 IC0289_PN
03 10 18 +40 46 00 IC0292_GL
03 12 48 +04 42 00 IC0302_GL
03 16 06 +40 48 00 IC0309_GL
03 16 42 +41 20 01 IC0310_GL
03 18 06 +41 45 00 IC0312_GL
03 21 00 +41 54 00 IC0313_GL
03 26 30 -21 21 00 IC0324_GL
03 45 12 +76 38 01 IC0334_GL
03 35 30 -34 27 00 IC0335_GL
03 46 48 +68 06 00 IC0342_GL
03 40 06 -18 27 00 IC0343_GL
03 41 42 -18 16 00 IC0346_GL
03 42 30 -04 16 59 IC0347_GL
00 38 00 +32 17 00 IC0348_DN
03 47 30 +35 03 00 IC0351_PN
03 55 00 +25 29 00 IC0353_DN
04 07 48 +69 49 00 IC0356_GL
04 19 00 +28 12 00 IC0359_DN
04 13 00 +25 38 00 IC0360_DN
04 19 00 +58 18 00 IC0361_OC
04 37 54 -09 31 00 IC0382_GL
04 41 42 -07 04 59 IC0387_GL
04 57 24 +78 11 00 IC0391_GL
04 58 00 +68 19 00 IC0396_GL
04 58 12 -07 47 00 IC0398_GL
05 16 12 +34 16 00 IC0405_DN
00 54 00 +33 31 00 IC0410_DN
05 23 54 -17 16 00 IC0416_GL
05 28 06 +34 26 00 IC0417_DN
05 27 30 -12 42 00 IC0418_PN
05 33 24 -00 36 59 IC0423_DN
05 36 48 -00 15 00 IC0426_DN
05 38 30 -07 05 00 IC0430_DN
05 40 18 -01 26 59 IC0431_DN
05 40 54 -01 29 00 IC0432_DN
05 41 00 -02 24 00 IC0434_DN
05 43 00 -02 19 00 IC0435_DN
05 53 00 -17 53 00 IC0438_GL
06 16 54 +22 47 01 IC0443_DN
06 20 24 +23 16 00 IC0444_DN
06 31 00 +10 27 00 IC0446_DN
06 32 42 +07 19 00 IC0448_DN
06 45 42 +71 21 00 IC0449_GL
06 52 12 +74 26 00 IC0450_GL
06 52 54 +74 29 00 IC0451_GL
07 00 18 -30 10 00 IC0456_GL
07 08 36 -04 19 00 IC0466_DN
07 30 00 +79 52 01 IC0467_GL
07 17 30 -13 09 00 IC0468_DN
07 56 00 +85 10 00 IC0469_GL
08 05 42 +26 10 00 IC0492_GL
08 32 00 +24 00 00 IC0509_GL
08 40 48 +73 29 00 IC0511_GL
09 04 00 +85 30 00 IC0512_GL
