02 25 37 +50 16 43 65 And 6.5 .0 4.71
17 37 19 -42 59 51 SARGAS 2.0 -.3 1.86
17 15 02 +24 50 20 SARIN -1.5 -.5 3.11
22 54 39 -15 49 15 SCHEAT -.0 .0 3.25
00 40 30 +56 32 14 SCHEDAR 7.0 .3 2.22
01 54 38 +20 48 28 SHARATAN 6.6 .5 2.64
17 33 37 -37 06 15 SHAULA -7.3 -.1 1.63
18 50 05 +33 21 46 SHELIAK 2.58 -.4 3.63
01 54 38 +20 48 28 SHERATAN -6.20 .4 2.64
06 45 09 -16 42 52 SIRIUS 1.6 -.2 1.09
13 25 12 -11 09 41 SPICA -6.5 -.1 1.05
09 08 00 -43 25 57 SUHAIL -3.8 .3 2.18
19 46 16 +10 36 48 TARAZED -6.3 -.3 2.68
14 04 23 +64 22 33 THUBAN 4.7 .1 3.64
15 44 16 +06 25 02 UNUKALHA .1 .4 2.61
18 36 56 +38 47 02 VEGA 5.9 .3 .09
13 02 11 +10 57 33 VINDEMIA -7.1 0.0 2.81
07 20 07 +21 58 57 WASAT 6.6 .2 3.52
07 08 23 -26 23 34 WEZEN 7.3 .5 1.83
03 58 02 -13 30 31 ZAURAK -3.3 .1 2.94
11 50 42 +01 45 52 ZAVIJAVA -1.1 -.1 3.59
11 14 07 +20 31 25 ZOSMA -6.8 -.2 2.53
14 50 53 -16 02 31 UBENELG -4.7 -.4 2.72
